52.6980223,-6.931495299999999,Lawlor's
52.803253399999996,-6.734699699999998,The Tara Arms
52.7364507,-7.023439999999999,The Ridge Bar
52.73898829999999,-6.769584800000001,Joe Doyles
52.702770400000006,-6.961789100000001,The Red Lion
52.35180829999999,-7.711275,Carey's Pub
52.8387338,-6.930229700000001,Carpe Diem
52.702641,-6.960372099999999,Jimmy D's
52.7536065,-6.7067204999999985,The Ardattin Inn
52.7020998,-6.956016699999998,Lawlors
52.673776600000004,-6.8413742,High Nellys
52.837188600000005,-6.9318190999999985,O'loughlin's Bar
52.84305939999999,-6.7890643000000015,Walshes
52.8361963,-6.9283427999999985,The Med Bar
52.7362346,-6.979156799999998,Meaney's Bar
52.802391899999996,-6.7360196,J J's Bar
52.57223320000001,-6.861485000000001,Murphy's
53.288004799999996,-6.3595263000000015,Molloys Public House
52.8429787,-6.9775041999999985,The Mall
52.83616479999999,-6.9257332,Racey Byrne's The Plough
52.86499739999999,-6.8610346999999985,Palatine House
52.83719250000001,-6.9358857,Dicey Reilly's
52.836685100000004,-6.9360835000000005,The Castle Inn
52.836076399999996,-6.9289627000000005,The Barracks Bar
52.84819779999999,-6.9908724,Glenside
52.73621,-6.977689999999999,The Garrison Bar
52.864698499999996,-6.5576991,Bolands Bar And Lounge
52.837622700000004,-6.932743500000001,Ewings
52.83729920000001,-6.929649400000001,Sheriff Guevaras
53.35403170000001,-6.264429900000001,Mcsiuls
52.73279489999999,-6.9816803,The Rainbow Bar
52.8363696,-6.9313259999999985,Scraggs Alley
52.837274300000004,-6.9384549999999985,The Thatch Bar
52.8379139,-6.928005199999999,Lennons
52.7013971,-6.985793900000001,The Royal Oak Tavern
52.8027483,-6.7370714000000005,The Granite House
52.760438199999996,-6.8519152000000005,The Fighting Cocks
52.8351456,-6.9259146,Carpenter's
52.836017000000005,-6.9254798,Reddys Of Carlow
52.8017811,-6.7386257999999986,The Hogan Stand
52.7013971,-6.985793900000001,The Pint Depot
52.89297,-7.0209199999999985,The High Trees
52.8027041,-6.737045200000001,Daltons Public House
52.699971,-6.9579480999999985,The Kilree Arms
52.60033620000001,-6.923970400000001,Joyce's
53.3892063,-6.3888826,Jd Wetherspoon Ireland
52.836191299999996,-6.925439599999999,Teach Dolmen
52.68343929999999,-6.684861099999999,Conways
52.73616999999999,-6.976642000000001,The Lord Bagenal
52.83514350000001,-6.925640799999999,The John Tyndall
52.7006076,-6.9573152,The Railway House
52.803053000000006,-6.736097699999998,Griffin's Lounge
52.8572189,-6.6728871,The Rathvilly Inn
52.83650720000001,-6.934135899999999,O'kelly's
52.73279489999999,-6.9816803,Kelly's Bar
52.836536100000004,-6.931583499999999,Tully's Bar
52.7020287,-6.957647499999998,Estoria
52.83879659999999,-6.929956,The Irishman
52.8027041,-6.737045200000001,Forans Public House
52.738981,-6.770293,Kavanagh's
52.26916800000001,-9.700069000000001,Castle Off Licence
52.8372856,-6.9329671,Nancy Whiskey's
52.6012189,-6.8324591,Osborne's Pub
52.49114590000001,-6.9297737999999995,John A's
52.48770160000001,-6.928736000000002,Blanchfields
52.83164679999999,-6.909841800000001,Miller's Bar
52.80110260000001,-6.735114200000001,The Deereen Inn
52.864698499999996,-6.5576991,The Corner
53.923683200000006,-7.582612200000002,Eagle Bar
54.0730415,-7.0833205999999995,The Oakland Arms
54.193763600000004,-7.7047113,The Swan Bar
53.9923635,-7.360856699999999,The Thomas Ashe
54.0410603,-7.223724000000001,The Stray Sod
53.86451120000001,-7.205078599999999,The Beer Garden
53.9304706,-7.409794400000001,Crannog
53.94672729999999,-7.4864902,Mcseain's Cornafean
53.989838,-7.360364499999998,The Vault Bar
53.834833700000004,-7.0823719,The Riverfront Hotel
53.9174592,-6.9722068,Clarke's Xl
53.9160804,-6.969569900000001,Crossans
54.100623,-7.444872999999999,The Castle Sport Bar And Lounge
52.5029204,-6.572706200000001,The Whiskey Barrell And Donohoes Bar
53.923683200000006,-7.582612200000002,Nicholas O'hara
53.989838,-7.360364499999998,The Imperial Hotel
54.0157047,-7.5290792999999985,The Vintage Bar
53.919272,-7.265253999999999,Crosskeys Inn
53.988839399999996,-7.3606068,An Cruiscin Lan
53.9945761,-7.217962300000001,Laragh House
53.92793149999999,-7.0035481,The Hideaway Bar
53.9049519,-6.8047508,Willows
53.8636,-7.207944,Langtrys
53.9933931,-7.359576400000001,The Blackhorse Inn
53.8630541,-7.206989699999999,Mccabe's
53.980294799999996,-7.0466780999999985,The Bridge Tavern
54.11718470000001,-7.5826478,The Molly Maguires
54.0738777,-7.0811739000000005,Hannigans
54.0738777,-7.0811739000000005,Hannigans
53.98206999999999,-7.2366319,Brady's The Cross
53.834777,-7.093105,The Virginia Park Lodge
54.07309009999999,-7.083869200000001,E O'reilly
53.99127799999999,-7.360042999999999,Farnham Arms Hotel
53.343154000000006,-6.2816160000000005,Arthurs Bar
54.11665970000001,-7.583624200000001,Lees
53.87317710000001,-7.534035899999999,Fitzpatricks Tavern
54.1016935,-7.4458,The Lawn
54.0157047,-7.5290792999999985,Kelly's
53.91373309999999,-6.774575,Cabra Castle
54.101107299999995,-7.445819,The Cosy Bar
53.8113652,-6.9445179999999995,Tyrrell's
54.0729814,-7.0831615,The West End Bar
53.98946669999999,-7.3602849,Jp's Bar And Lounge
53.9159193,-6.969195699999999,Failte
54.0429804,-7.375216399999998,The Derragarra Inn
53.99185799999999,-7.359742999999999,The New York Bar
53.83432029999999,-7.081275,Macgabhainns Bar
53.81873100000001,-7.05363,The Lakeside Manor
53.9156708,-6.9682185,The Square Bar
