DIMENSION: 5639
NODE_COORD_SECTION
52.6980223 -6.9314953 0 Lawlor's "Kilcarrig St  Co. Carlow  Ireland"
52.8032534 -6.7346997 2 The Tara Arms "Tara Arms  Church Street  Tullow  Co. Carlow  R93 T6K9  Ireland"
52.7364507 -7.02344 4 The Ridge Bar "Oldleighlin  Co. Carlow  Ireland"
52.7389883 -6.7695848 7 Joe Doyles "Main Street  Ballon  Co. Carlow  Ireland"
52.7027704 -6.9617891 8 The Red Lion "Regent Street  Muine Bheag  R21 F300  Ireland"
52.3518083 -7.711275 10 Carey's Pub "47 Irishtown  Greenan  Clonmel  Co. Tipperary  Ireland"
52.8387338 -6.9302297 11 Carpe Diem "Court Pl  Graigue  Carlow  Ireland"
52.702641 -6.9603721 12 Jimmy D's "Regent St  Moneybeg  Muine Bheag  Co. Carlow  Ireland"
52.7536065 -6.7067205 17 The Ardattin Inn "Ardattin  Carlow  Ireland"
52.7020998 -6.9560167 20 Lawlors "Market Square  Kilcarrig  Bagenalstown  Co. Carlow  Ireland"
52.6737766 -6.8413742 21 High Nellys "Milltown  Co. Carlow  Ireland"
52.8371886 -6.9318191 23 O'loughlin's Bar "53 Dublin St  Graigue  Carlow  R93 R221  Ireland"
52.8430594 -6.7890643 27 Walshes "Killerrig  Co. Carlow  Ireland"
52.8361963 -6.9283428 28 The Med Bar "112 Tullow St  Carlow  Ireland"
52.7362346 -6.9791568 29 Meaney's Bar "Main St  Ballyknockan  Co. Carlow  Ireland"
52.8023919 -6.7360196 30 J J's Bar "Mill St  Templeowen  Tullow  Co. Carlow  Ireland"
52.5722332 -6.861485 33 Murphy's "Ballymurphy  Co. Carlow  Ireland"
53.2880048 -6.3595263 34 Molloys Public House "24 Main St  Tallaght  Dublin  Ireland"
52.8429787 -6.9775042 36 The Mall "Clonmore  Killeshin  Co. Laois  Ireland"
52.8361648 -6.9257332 39 Racey Byrne's The Plough "83 Tullow St  Carlow  Ireland"
52.8649974 -6.8610347 41 Palatine House "Killyshane  Palatine  Co. Carlow  Ireland"
52.8371925 -6.9358857 43 Dicey Reilly's "Centaur St  Graigue  Carlow  Ireland"
52.8366851 -6.9360835 45 The Castle Inn "Castle Hill  Graigue  Carlow  Ireland"
52.8360764 -6.9289627 46 The Barracks Bar "32 Tullow St  Graigue  Carlow  Ireland"
52.8481978 -6.9908724 47 Glenside "Killeshin Rd  Clonmore  Carlow  Co. Laois  Ireland"
52.73621 -6.97769 48 The Garrison Bar "Main St  Ballyknockan  Leighlinbridge  Co. Carlow  Ireland"
52.8646985 -6.5576991 49 Bolands Bar And Lounge "Main St  Hacketstown Upper  Hacketstown  Co. Carlow  Ireland"
52.8376227 -6.9327435 54 Ewings "Hay Market  Graigue  Carlow  Ireland"
52.8372992 -6.9296494 61 Sheriff Guevaras "11 Brown St  Graigue  Carlow  Ireland"
53.3540317 -6.2644299 62 Mcsiuls "Rotunda  Dublin  Ireland"
52.7327949 -6.9816803 64 The Rainbow Bar "Church St  Leighlinbridge  Co. Carlow  Ireland"
52.8363696 -6.931326 65 Scraggs Alley "12 Tullow St  Graigue  Carlow  R93 PP79  Ireland"
52.8372743 -6.938455 70 The Thatch Bar "5 Maryborough St  Graiguecullen  Carlow  Co. Carlow  R93 H4F8  Ireland"
52.8379139 -6.9280052 71 Lennons "Old Dublin Rd  Graigue  Carlow  Ireland"
52.7013971 -6.9857939 73 The Royal Oak Tavern "Clorusk Lower  Co. Carlow  Ireland"
52.8027483 -6.7370714 74 The Granite House "Granite House  Bridge St  Templeowen  Tullow  Co. Carlow  Ireland"
52.7604382 -6.8519152 76 The Fighting Cocks "Templepeter  Co. Carlow  Ireland"
52.8351456 -6.9259146 79 Carpenter's "10 Barrack St  Carlow  Ireland"
52.836017 -6.9254798 80 Reddys Of Carlow "67 Tullow St  Carlow  Ireland"
52.8017811 -6.7386258 82 The Hogan Stand "Abbey Close  Templeowen  Tullow  Co. Carlow  Ireland"
52.7013971 -6.9857939 89 The Pint Depot "Clorusk Lower  Co. Carlow  Ireland"
52.89297 -7.02092 90 The High Trees "Rathtillig  Arles  Co. Laois  Ireland"
52.8027041 -6.7370452 91 Daltons Public House "Bridge House  Abbey St  Templeowen  Tullow  Co. Carlow  Ireland"
52.699971 -6.9579481 94 The Kilree Arms "Kilree St  Co. Carlow  Ireland"
52.6003362 -6.9239704 103 Joyce's "Main St  Knocknagundarragh  Borris  Co. Carlow  Ireland"
53.3892063 -6.3888826 109 Jd Wetherspoon Ireland "Westend Retail Park  Blanchardstown  Dublin 15  Co. Dublin  Ireland"
52.8361913 -6.9254396 111 Teach Dolmen "76 Tullow St  Carlow  R93 NY70  Ireland"
52.6834393 -6.6848611 112 Conways "Kildavin  Bunclody  Co. Wexford  Ireland"
52.73617 -6.976642 113 The Lord Bagenal "Main St  Ballyknockan  Leighlinbridge  Co. Carlow  Ireland"
52.8351435 -6.9256408 115 The John Tyndall "Barrack St  Carlow  Co. Carlow  Ireland"
52.7006076 -6.9573152 118 The Railway House "Kilcarrig  Co. Carlow  Ireland"
52.803053 -6.7360977 122 Griffin's Lounge "The Square  Tullowphelim  Tullow  Co. Carlow  Ireland"
52.8572189 -6.6728871 125 The Rathvilly Inn "Germaines  Rathvilly  Co. Carlow  Ireland"
52.8365072 -6.9341359 127 O'kelly's "Carlow  Ireland"
52.7327949 -6.9816803 132 Kelly's Bar "Church St  Ballyknockan  Leighlinbridge  Co. Carlow  Ireland"
52.8365361 -6.9315835 134 Tully's Bar "148-149 Tullow St  Graigue  Carlow  R93 W243  Ireland"
52.7020287 -6.9576475 141 Estoria "Main St  Kilcarrig  Bagenalstown  Co. Carlow  Ireland"
52.8387966 -6.929956 144 The Irishman "College St  Graigue  Carlow  Ireland"
52.8027041 -6.7370452 146 Forans Public House "Bridge House  Abbey St  Templeowen  Tullow  Co. Carlow  Ireland"
52.738981 -6.770293 149 Kavanagh's "Main St  Ballon  Co. Carlow  Ireland"
52.269168 -9.700069 153 Castle Off Licence "80 Boherbee  Cloonalour  Tralee  Co. Kerry  Ireland"
52.8372856 -6.9329671 159 Nancy Whiskey's "Hay Market  Graigue  Carlow  Ireland"
52.6012189 -6.8324591 160 Osborne's Pub "Rathanna  Co. Carlow  Ireland"
52.4911459 -6.9297738 161 John A's "Ballyknock  St Mullin's  Co. Carlow  Ireland"
52.4877016 -6.928736 163 Blanchfields "The Quay  Saint Mullin's  Co. Carlow  Ireland"
52.8316468 -6.9098418 164 Miller's Bar "Carlow  Ireland"
52.8011026 -6.7351142 165 The Deereen Inn "Mill Street  Templeowen  Tullow  Co. Carlow  Ireland"
52.8646985 -6.5576991 166 The Corner "Main St  Hacketstown Upper  Hacketstown  Co. Carlow  Ireland"
53.9236832 -7.5826122 170 Eagle Bar "Main St  Arvagh  Co. Cavan  Ireland"
54.0730415 -7.0833206 172 The Oakland Arms "22 Bridge St  Drumaveil North  Cootehill  Co. Cavan  Ireland"
54.1937636 -7.7047113 173 The Swan Bar "Hawkswood  Swanlinbar  Co. Cavan  Ireland"
53.9923635 -7.3608567 175 The Thomas Ashe "Thomas Ashe St  Abbeyland  Cavan  Ireland"
54.0410603 -7.223724 181 The Stray Sod "Drung  Aghnadaragan  Drung  Co. Cavan  Ireland"
53.8645112 -7.2050786 185 The Beer Garden "Stradone St  Cornahilt  Ballyjamesduff  Co. Cavan  Ireland"
53.9304706 -7.4097944 186 Crannog "Main Street Ballinagh Cavan  Ballinagh  Co. Cavan  Ireland"
53.9467273 -7.4864902 187 Mcseain's Cornafean "Cornafean  Co. Cavan  Ireland"
53.989838 -7.3603645 188 The Vault Bar "47 Main St  Townparks  Cavan  Ireland"
53.8348337 -7.0823719 189 The Riverfront Hotel "5 Main St  Rahardrum  Virginia  Co. Cavan  A82 N9X7  Ireland"
53.9174592 -6.9722068 192 Clarke's Xl "Lower Main Street  Beckscourt  Bailieborough  Co. Cavan  Ireland"
53.9160804 -6.9695699 193 Crossans "Main St  Tanderagee  Bailieborough  Co. Cavan  Ireland"
54.100623 -7.444873 196 The Castle Sport Bar And Lounge "No  4 The Diamond  Belturbet  Co. Cavan  Ireland"
52.5029204 -6.5727062 197 The Whiskey Barrell And Donohoes Bar "Duffry Gate  Templeshannon  Enniscorthy  Co. Wexford  Ireland"
53.9236832 -7.5826122 198 Nicholas O'hara "Main St  Arvagh  Co. Cavan  Ireland"
53.989838 -7.3603645 199 The Imperial Hotel "47 Main St  Townparks  Cavan  Ireland"
54.0157047 -7.5290793 200 The Vintage Bar "Main St  Portaliff Glebe  Killashandra  Co. Cavan  Ireland"
53.919272 -7.265254 201 Crosskeys Inn "Killatain Cross keys Cavan  Cross keys  Cavan  Ireland"
53.9888394 -7.3606068 203 An Cruiscin Lan "82 Main St  Townparks  Cavan  H12 F3X9  Ireland"
53.9945761 -7.2179623 205 Laragh House "Laragh House  Larah  Stradone  Co. Cavan  Ireland"
53.9279315 -7.0035481 206 The Hideaway Bar "Cavan Rd  Leiter  Bailieborough  Co. Cavan  Ireland"
53.9049519 -6.8047508 213 Willows "Main St  Lisasturrin  Kingscourt  Co. Cavan  Ireland"
53.8636 -7.207944 216 Langtrys "Granard Rd  Cornahilt  Ballyjamesduff  Co. Cavan  Ireland"
53.9933931 -7.3595764 219 The Blackhorse Inn "Church St  Abbeyland  Cavan  Ireland"
53.8630541 -7.2069897 220 Mccabe's "Chapel St  Cornahilt  Co. Cavan  Ireland"
53.9802948 -7.0466781 222 The Bridge Tavern "Tullylorcan  Co. Cavan  Ireland"
54.1171847 -7.5826478 223 The Molly Maguires "R205  Doon  Co. Cavan  Ireland"
54.0738777 -7.0811739 224 Hannigans "38 Main st Cootehill Co. Cavan  Co. Cavan  Ireland"
54.0738777 -7.0811739 225 Hannigans "38 Main st Cootehill Co. Cavan  Co. Cavan  Ireland"
53.98207 -7.2366319 230 Brady's The Cross "Aghagolrick  Stradone  Co. Cavan  Ireland"
53.834777 -7.093105 231 The Virginia Park Lodge "Virginia  Co. Cavan  Ireland"
54.0730901 -7.0838692 232 E O'reilly "27 Bridge St  Drumaveil North  Cootehill  Co. Cavan  H16 RT92  Ireland"
53.991278 -7.360043 233 Farnham Arms Hotel "Main  Street  Cavan  H12 Y6E4  Ireland"
53.343154 -6.281616 234 Arthurs Bar "28 Thomas St  Ushers  Dublin  Ireland"
54.1166597 -7.5836242 236 Lees "R205  Doon  Co. Cavan  Ireland"
53.8731771 -7.5340359 240 Fitzpatricks Tavern "Loch Gowna Main street  Cavan  Ireland"
54.1016935 -7.4458 242 The Lawn "9 The Lawn  Corporation Lands  Belturbet  Co. Cavan  H14 K573  Ireland"
54.0157047 -7.5290793 243 Kelly's "Main St  Portaliff Glebe  Killashandra  Co. Cavan  Ireland"
53.9137331 -6.774575 244 Cabra Castle "Carrickmacross Rd  Cormey  Kingscourt  Co. Cavan  A82 EC64  Ireland"
54.1011073 -7.445819 246 The Cosy Bar "7 Upper Bridge St  Corporation Lands  Belturbet  Co. Cavan  Ireland"
53.8113652 -6.944518 247 Tyrrell's "Main St  Rosehill  Mullagh  Co. Cavan  Ireland"
54.0729814 -7.0831615 249 The West End Bar "20 Bridge St  Drumaveil North  Co. Cavan  Ireland"
53.9894667 -7.3602849 251 Jp's Bar And Lounge "57 Main St  Townparks  Cavan  Ireland"
53.9159193 -6.9691957 254 Failte "Main St  Tanderagee  Bailieborough  Co. Cavan  Ireland"
54.0429804 -7.3752164 255 The Derragarra Inn "Derragarra Inn  Derrygarra Lower  Butlers Bridge  Co. Cavan  Ireland"
53.991858 -7.359743 256 The New York Bar "Unit 1  Convent Buildin  12 Main St  Abbeyland  Cavan  Ireland"
53.8343203 -7.081275 260 Macgabhainns Bar "Main St  Rahardrum  Virginia  Co. Cavan  Ireland"
53.818731 -7.05363 263 The Lakeside Manor "Dublin Road  Virginia  Co. Cavan  Ireland"
53.9156708 -6.9682185 264 The Square Bar "Market Square  Tanderagee  Bailieborough  Co. Cavan  Ireland"
53.9166592 -6.9708232 267 Hall's "The Medical Hall  Main St  Beckscourt  Bailieborough  Co. Cavan  Ireland"
53.989666 -7.3633199 268 The Slieve Rossa "Rossa Pl  Cavan  Ireland"
53.9954834 -6.8993158 269 Shercock House "Market House  Main St  Lisdrumskea  Shercock  Co. Cavan  Ireland"
53.8115204 -6.9463961 272 John Joe Lynch "Main St  Mullagh  Co. Cavan  Ireland"
53.83779 -7.073876 274 Enagh House "Bailieboro Road  Virginia  Co. Cavan  Rahardrum  Cavan  Ireland"
54.0015756 -7.3539496 275 The Orchard "Drumalee  Co. Cavan  Ireland"
54.116576 -7.58321 276 Donohoe "The Conall Building  Main St  Doon  Ballyconnell  Co. Cavan  Ireland"
53.78712 -7.0531798 281 The Silver Dove Bar "Ryefield  Moate  Co. Cavan  Ireland"
53.8622042 -7.3211073 282 "T/a Pius  Polo Grounds Pub" "Tonylion  Co. Cavan  Ireland"
53.905797 -6.8052231 283 M And F's Bar "41 Main St  Lisasturrin  Co. Cavan  Ireland"
53.988269 -7.3603893 284 The Top Of The Town "James Connolly St  Townparks  Cavan  Ireland"
53.9949614 -6.8978239 286 O'mahony's "Main St  Lisdrumskea  Shercock  Co. Cavan  Ireland"
53.9071269 -6.8050342 288 Gartlans "5 Lower Main St  Lisasturrin  Kingscourt  Co. Cavan  Ireland"
53.9835758 -7.3461921 289 The Meadowview Lounge "Dublin Rd  Tirquin  Cavan  Ireland"
54.1027032 -7.4400349 293 The Harbour "Morrissey Park  Corporation Lands  Belturbet  Co. Cavan  Ireland"
53.863716 -7.2069763 299 The High Stool "Anne St  Cornahilt  Ballyjamesduff  Co. Cavan  Ireland"
53.9667038 -7.2292686 300 The Lavey Inn "Knockanoark  Co. Cavan  Ireland"
54.0750157 -7.0801561 301 White Horse Hotel "Market St Market St  Killycramph  Cootehill  Co. Cavan  H16 NP73  Ireland"
53.9947712 -6.8971711 303 Burns "27 Main St Lisdrumskea Shercock Co. Cavan A81 Y298 Main St  Lisdrumskea  Shercock  Co. Cavan  A81 Y298  Ireland"
53.9053708 -6.8051046 304 Murtagh's Pub "98 Main St  Lisasturrin  Kingscourt  Co. Cavan  Ireland"
53.9908662 -7.3602042 305 Bradys "Main St  Abbeyland  Cavan  Ireland"
54.0133639 -7.5276518 306 Gilsenans "Main St  Portaliff Glebe  Killashandra  Co. Cavan  Ireland"
53.7769384 -7.5012256 310 Sheridans Pub "Granard  Co. Longford  Ireland"
54.0996679 -7.320118 311 Mccaffrey's "Redhill Demesne  Co. Cavan  Ireland"
53.9159598 -6.9685889 312 The Castle Inn "Market Square  Tanderagee  Bailieborough  Co. Cavan  Ireland"
53.9236832 -7.5826122 313 The Goal Post "Main St  Arvagh  Co. Cavan  Ireland"
54.0740752 -7.0809916 315 Mullens "32 Market St  Drumaveil North  Cootehill  Co. Cavan  Ireland"
53.9161998 -6.9699802 316 Murtaghs "26 Main St  Tanderagee  Bailieborough  Co. Cavan  A82 EV76  Ireland"
53.9053708 -6.8051046 317 Clarkes Corner Bar "98 Main St  Lisasturrin  Kingscourt  Co. Cavan  Ireland"
54.1008667 -7.4440413 318 The Seven Horse Shoes Hotel "12 Main St  Corporation Lands  Belturbet  Co. Cavan  Ireland"
54.1921467 -7.8926491 319 Glan Bar "Tullytiernan  Glangevlin  Co. Cavan  Ireland"
53.9916654 -7.360101 320 Blessings "92 Main St  Abbeyland  Cavan  Ireland"
53.833863 -7.0801841 321 The Ramor Lodge Hotel "5 Main St  Rahardrum  Virginia  Co. Cavan  A82 N9X7  Ireland"
54.0735966 -7.0808743 322 The Bellamori Arms "43 Market St  Drumaveil North  Cootehill  Co. Cavan  H16 AK74  Ireland"
53.8645112 -7.2050786 324 The Royal Bar "Stradone St  Cornahilt  Ballyjamesduff  Co. Cavan  Ireland"
54.2914304 -7.8765719 326 F Maguire "Main St  Tuam  Blacklion  Co. Cavan  Ireland"
53.9908662 -7.3602042 327 Brady's "Main St  Abbeyland  Cavan  Ireland"
53.9456242 -8.0955126 328 Dunne's Bar "Main St  Townparks  Carrick-On-Shannon  Co. Leitrim  Ireland"
53.9898528 -7.3612525 329 Mccauls "10 Bridge St  Abbeyland  Cavan  Ireland"
53.9049519 -6.8047508 330 Freeman's "Main St  Lisasturrin  Kingscourt  Co. Cavan  Ireland"
54.1008834 -7.4438474 332 The Widows Bar "Main St  Corporation Lands  Co. Cavan  Ireland"
53.8644315 -7.2062225 334 Crowes Corner "Dublin St  Cornahilt  Ballyjamesduff  Co. Cavan  Ireland"
53.27662 -7.495197 335 Lynchs Bar "Kilbride St  Puttaghan  Tullamore  Co. Offaly  Ireland"
53.8374919 -7.4338878 338 Glann Bar And Lounge "Mullaghoran  Co. Cavan  Ireland"
54.0520095 -7.8041251 340 Hughies "Main St  Cannaboe  Ballinamore  Co. Leitrim  Ireland"
54.1159479 -7.5834017 341 The Woodford Arms "Bridge St  Cullyleenan  Ballyconnell  Co. Cavan  Ireland"
53.92378 -7.5845533 342 The Brewery "R198  Drumnawall  Co. Cavan  Ireland"
54.1168514 -7.583254 343 The Brandywell Bar "R205  Doon  Co. Cavan  Ireland"
53.8582588 -7.2036906 344 Colm's Bar "Oldcastle Rd  Ballyjamesduff  Co. Cavan  Ireland"
54.1940237 -7.7043554 345 The Stables Bar "Main St  Swanlinbar  Co. Cavan  Ireland"
54.0133639 -7.5276518 348 Shamrock Inn "Main St  Portaliff Glebe  Killashandra  Co. Cavan  Ireland"
54.102111 -7.450876 349 Flynns Bar "Kilconny  Ballyconnell Road  Belturbet  Co. Cavan  Ireland"
54.1173001 -7.5863074 350 Lizzies "Church St  Doon  Ballyconnell  Co. Cavan  Ireland"
54.2909805 -7.8747383 351 The Dugout "An Bonnán Buí Way  Tuam  Blacklion  Co. Cavan  Ireland"
53.9308565 -7.3212726 352 The Tank "Denncross  Carrickaboy  Co. Cavan  Ireland"
53.9044515 -6.8048482 354 Malones Bar "Main St  Lisasturrin  Kingscourt  Co. Cavan  Ireland"
53.8737878 -7.533784 355 Whites "1 Lough View  Loch Gowna  Co. Cavan  H12 HD98  Ireland"
53.9241134 -7.5830314 356 Lynch's "Pound St  Drumalt  Arvagh  Co. Cavan  Ireland"
53.953361 -7.4345479 358 The Shantully Inn "Shantully  Crossdoney  Co. Cavan  Ireland"
54.06123 -7.7378914 360 Ballymac Inn "Garadice  Co. Leitrim  Ireland"
53.9168766 -6.9708872 361 Kangley's Pub "Main St  Beckscourt  Bailieborough  Co. Cavan  Ireland"
