,latitude,longitude,trading_name
420,53.3363556,-6.2728594000000015,Kavanagh's
443,53.33899350000001,-6.2734055,Fallons (the Capstan Bar)
422,53.3389395,-6.272304,Nash's Public House
166,53.343077,-6.2700589,The Lord Edward
34,53.34344669999999,-6.2698331,The Bull And Castle
428,53.34494729999999,-6.2678933,The Czech Inn
430,53.34453240000001,-6.2675044,The Front Lounge
439,53.3450877,-6.2674185,The Porterhouse
440,53.345077,-6.26717,Roberta's
74,53.3452613,-6.266782599999999,The Clarence Hotel And The Kitchen Niteclub
71,53.34532460000001,-6.267147599999999,Dollard And Co
80,53.3465704,-6.2678803,Pantibar
15,53.346434,-6.268116,Jack Nealons Pub
23,53.3473704,-6.268536399999999,The Boars Head
17,53.34776280000001,-6.2686698,Mcneills
178,53.3482748,-6.2688625,Slatterys
460,53.3495949,-6.2690321,The Dubliner Public House
462,53.34979689999999,-6.2690882000000006,The Black Sheep
181,53.35035600000001,-6.267389,The Woolshed Baa And Grill
19,53.3475039,-6.2660123,T P Smith's
21,53.3474369,-6.2655699,Koh Restaurant
28,53.34659079999999,-6.263840900000001,Yamamori Sushi
77,53.345934,-6.263224,Ha'penny Bridge Inn
68,53.34567320000001,-6.2632571,The Quays
437,53.345316,-6.2629151,The Bad Ass Cafe
73,53.3452666,-6.2626550000000005,Dorans
426,53.3450623,-6.262959599999999,Vcc
432,53.3444284,-6.263455599999999,The Foggy Dew
164,53.3438244,-6.2639606,Dame Tavern
163,53.3438235,-6.2636588,The Stag's Head
162,53.3437628,-6.262862699999999,4 Dame Lane
32,53.34399759999999,-6.2624765,The Bankers Lounge
149,53.3430991,-6.261746400000002,The International Bar
148,53.34288069999999,-6.2606946,The Restaurant
140,53.34285190000001,-6.2602838,Mary's Bar And Hardware
139,53.3434757,-6.2596858000000015,O'donoghue's Public House
31,53.344198,-6.259525,The Irish Whiskey Museum
160,53.34390519999999,-6.2607613,O'neills
433,53.3441191,-6.2615067,The Bank On College Green
425,53.3446566,-6.2619355,Blooms Hotel/ The Vathouse Bar Of Temple Bar/ Club M
70,53.3453782,-6.2617297,The Left Bank Also As The Oliver St John Gogarty
72,53.3455904,-6.2619628,The Auld Dubliner
69,53.3456978,-6.262201699999999,Tgi Friday's
81,53.34594800000001,-6.262829,Merchants Hall
24,53.3469012,-6.2634767,The Grand Social
13,53.34736170000001,-6.263325,The Lotts
20,53.347862,-6.2633876,The Gin Palace
5,53.3478286,-6.2622949,Wigwam
156,53.34587809999999,-6.2608664,The Hard Rock Cafe
154,53.34571949999999,-6.2597755999999976,The Temple Bar Inn Hotel
153,53.3458948,-6.2596063,The Palace Bar
14,53.34600769999999,-6.2593736,The Bridge Bar / O'sullivans Bar
29,53.34634670000001,-6.2587953,Cassidys Bar
82,53.346317000000006,-6.2579384000000005,Tramline
363,53.3469777,-6.258138099999999,J. W. Sweetman
27,53.3466684,-6.2588737000000005,Lafayette Cafe Bar
25,53.3466745,-6.259630599999999,Fitzgeralds
22,53.3474414,-6.2601213,Bachelor Inn
