latitude,longitude,trading_name
53.35339949999999,-6.2601605000000005,O'reillys (the Deers Head)
53.353143599999996,-6.2603700999999985,The Metro
53.3530919,-6.2631779000000005,Tgi Friday's
53.353606400000004,-6.2698127999999995,Thomas O'brennan Public House
53.3530301,-6.260914199999998,T/a The Shakespeare Bar
53.3478286,-6.2622949,Wigwam
53.35246,-6.260899999999999,Murays
53.3514192,-6.260858199999999,Riu Plaza The Gresham Dublin
53.35218199999999,-6.260847999999998,The Living Room
53.351440100000005,-6.2604011,Madigans
53.3510949,-6.2513941,Molloy's
53.352306000000006,-6.258913,Admiral
53.35197300000001,-6.262469400000001,Conways
53.34736170000001,-6.263325,The Lotts
53.34600769999999,-6.2593736,The Bridge Bar / O'sullivans Bar
53.346433999999995,-6.268116,Jack Nealons Pub
53.346923100000005,-6.2723322999999995,M. Hughes
53.347762800000005,-6.2686698,Mcneills
53.3474578,-6.2602487999999985,O'connells
53.3475039,-6.2660123,T P Smith's
53.347862,-6.2633876,The Gin Palace
53.3474369,-6.2655699,Koh Restaurant
53.3474414,-6.2601213,Bachelor Inn
53.3473704,-6.268536399999999,The Boars Head
53.3469012,-6.2634767,The Grand Social
53.3466745,-6.259630599999999,Fitzgeralds
53.344344400000004,-6.2663451,Brogans
53.3466684,-6.2588737000000005,Lafayette Cafe Bar
53.34659079999999,-6.263840900000001,Yamamori Sushi
53.346346700000005,-6.2587953,Cassidys Bar
53.34611049999999,-6.2571486,Chaplins
53.344198,-6.259525,The Irish Whiskey Museum
53.34399759999999,-6.2624765,The Bankers Lounge
53.34426020000001,-6.265357900000001,Peadar Kearney's
53.34344669999999,-6.2698331,The Bull And Castle
53.341574800000004,-6.274775900000001,The Liberty Belle
53.34143100000001,-6.266005000000001,The Snug Bar
53.3416705,-6.2626347,South William
53.34185,-6.2652980000000005,The Long Hall
53.34061759999999,-6.2654435,Jj Smyths/jjs
53.340488,-6.2606155,Captain America's Cookhouse
53.34074769999999,-6.2611905,Nearys
53.3383196,-6.2537644,Foleys
53.3382083,-6.2542292,O'donoghues
53.3377566,-6.2524254,Toners
53.3357505,-6.2567499999999985,Houricans Lounge
53.3334463,-6.2624331999999985,The Pod / Crawdaddy/the Lobby Bar/tripod
53.3306015,-6.2606205,The Barge
53.3313455,-6.251867900000001,The Leeson Lounge
53.33389449999999,-6.2453265999999985,The Wellington
53.33663879999999,-6.248421,The Henry Grattan
53.338363,-6.243190999999999,Oil Can Harrys
53.3369563,-6.2517008,Matt The Thrashers Limited
53.3367809,-6.2487002999999985,Larry Murphy's
53.340854,-6.2448584,Doolans Public House
53.341896,-6.24955,The Ginger Man
53.3389725,-6.256013800000002,The Shelbourne Hotel
53.3400991,-6.2587752,Peruke And Periwig
53.340136,-6.261584,Sinnotts Bar
53.3397527,-6.2613404,Tgi Fridays St. Stephens Green
53.3397448,-6.2588257999999986,The Dawson Lounge
53.340412199999996,-6.2586987,Sams Bar
53.3409938,-6.2590138,The Grotto
53.340658,-6.2586198999999985,Cafe En Seine
53.3420277,-6.2547945,Earl Of Kildare Hotel
53.3424922,-6.2622113,Farrier And Draper
53.342458400000005,-6.264767399999998,Soder And Ko
53.34328299999999,-6.264235999999999,Yamamori Izakaya
53.34567320000001,-6.2632571,The Quays
53.3456978,-6.2622016999999985,Tgi Friday's
53.3453782,-6.2617297,The Left Bank Also As The Oliver St John Gogarty
53.345324600000005,-6.267147599999999,Dollard And Co
53.3455904,-6.2619628,The Auld Dubliner
53.345266599999995,-6.2626550000000005,Dorans
53.345261300000004,-6.266782599999999,The Clarence Hotel And The Kitchen Niteclub
53.34535409999999,-6.2647672,The Norseman
53.345859600000004,-6.272130000000001,The Legal Eagle
53.345934,-6.263224,Ha'penny Bridge Inn
53.345675,-6.271838000000002,The Chancery Inn
53.345978599999995,-6.269511199999998,Sin É
53.346570400000004,-6.2678803,Pantibar
53.34594800000001,-6.262829,Merchants Hall
53.346317000000006,-6.2579384000000005,Tramline
53.3460395,-6.2557098,The Long Stone
53.345972700000004,-6.2552968,Mactorcaills
53.3453157,-6.248338700000001,The Windjammer
53.3481341,-6.2450651,3arena
53.3448554,-6.2384905,Hq
53.3470799,-6.2379557,Cill Airne
53.34979860000001,-6.230162,The Green Room
53.354686300000004,-6.2293116999999985,Seabank House
53.358399600000006,-6.2282715,The East Point Cafe Bar
53.36168249999999,-6.2151147999999985,The Yacht
53.3664162,-6.2180833999999985,Brooks Bar
53.36709339999999,-6.216573,Harry Byrne
53.36474699999999,-6.2068330000000005,Clontarf Castle Hotel
53.3596468,-6.189672,Pebble Beach
53.370831700000004,-6.205804499999998,The Beachcomber
53.37550719999999,-6.2094687,The Ramble Inn
53.378387800000006,-6.1934245,Horse And Hound
53.3838547,-6.206873000000001,The Roundabout
53.3855169,-6.2140746999999985,The Artane House
53.38663670000001,-6.2114543,The Ardlea Inn
53.38886579999999,-6.201008900000001,Kyles
53.3892493,-6.2008735999999995,The Cock And Bull
53.3943429,-6.1923306999999985,Kavanagh's
53.388827,-6.1809186999999985,The Concorde Lounge
53.388291599999995,-6.1672096,Madigan's
53.38048199999999,-6.174919999999998,The Station House
53.37987579999999,-6.177242700000001,Watermill Lounge
53.380034200000004,-6.1743324,The Inn
53.3812142,-6.1649233,The Cedar Lounge
53.3859978,-6.1555047,Foxhound Inn
53.3889596,-6.1412765,The Bayside Inn
53.3966784,-6.1370042,The Racecourse Inn
53.3979684,-6.1271371,The White House
53.408854000000005,-6.178414999999998,Campions
53.4032355,-6.206577999999999,Martin's
53.3958802,-6.2138415,Liz Delaney's
53.3969669,-6.2290588,Astro Park
53.39601769999999,-6.2451519,The Swiss Cottage
53.39122279999999,-6.235383499999998,The Kilmardinny Inn
53.3858007,-6.2336434,The Beaumont House
53.380972,-6.24578,The Viscount House
53.37579789999999,-6.2399460000000015,The Goose Tavern
53.37671100000001,-6.2232614,Kitty Kiernans
53.3677624,-6.227064700000001,Graingers
53.364574,-6.229834899999998,Barcode Fusion Fun And Fortune
53.3630649,-6.236479399999999,Gaffney And Son
53.35963910000001,-6.2403202,Annesley House
53.3634324,-6.235793,Smyths Of Fairview
53.36262800000001,-6.242369099999999,Meagher's
53.35754739999999,-6.2425893,Cusacks
53.359504099999995,-6.2449202,The Ref
53.3574846,-6.2482034,O'neills
53.352595799999996,-6.2492044,Mulletts Public House
53.351302000000004,-6.250331,Grainger
53.34976200000001,-6.249053,The Harbourmaster Bar
53.344862,-6.252147000000001,The Trinity Inn
